From,To,Term,Result,Score
Chemical Name,InChIKey,"O-Succinyl-L-homoserine",GNISQJGXJIDKDJ-YFKPBYRVSA-N,1
Chemical Name,InChIKey,"1,2-Diacyl-sn-glycerol (ditetradec-7-enoyl, n-C14:1)",LYCAIKOWRPUZTN-UHFFFAOYSA-N,1
Chemical Name,InChIKey,"2-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0)",YBBLVLTVTVSKRW-UHFFFAOYSA-N,1
Chemical Name,InChIKey,"Phosphatidylglycerophosphate (dioctadecanoyl, n-C18:0)",UZNYMWWMHBZMLI-IOLBBIBUSA-K,1
Chemical Name,InChIKey,"Pyridoxal",RADKZDMFGJYCBB-UHFFFAOYSA-N,1
Chemical Name,InChIKey,"Cyanate",XLJMAIOERFSOGZ-UHFFFAOYSA-M,1
Chemical Name,InChIKey,"UDP-D-glucuronate",HDYANYHVCAPMJV-LXQIFKJMSA-N,1
Chemical Name,InChIKey,"Guanosine 3  phosphate C10H12N5O8P",UYTPUPDQBNUYGX-UHFFFAOYSA-N,1
Chemical Name,InChIKey,"Trans-Dec-2-enoyl-[acyl-carrier protein]",YBBLVLTVTVSKRW-UHFFFAOYSA-N,1
Chemical Name,InChIKey,"1D-myo-Inositol 1-phosphate",INAPMGSXUVUWAF-GCVPSNMTSA-N,0
Chemical Name,InChIKey,"1-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0)",IACXMECMZISNLR-DLBZAZTESA-M,1
Chemical Name,InChIKey,"Sedoheptulose 7-phosphate",JDTUMPKOJBQPKX-GBNDHIKLSA-N,1
Chemical Name,InChIKey,"(S)-3-Hydroxydecanoyl-CoA",HIVSMYZAMUNFKZ-PNPVFPMQSA-N,1
Chemical Name,InChIKey,"Periplasmic protein disulfide isomerase I (oxidized)",AGPKZVBTJJNPAG-WHFBIAKZSA-N,1
Chemical Name,InChIKey,"L-Ascorbate",CIWBSHSKHKDKBQ-JLAZNSOCSA-N,1
Chemical Name,InChIKey,"Phosphatidylethanolamine (ditetradec-7-enoyl, n-C14:1)",DCXYFEDJOCDNAF-REOHCLBHSA-N,1
Chemical Name,InChIKey,"L-Fucose",SHZGCJCMOBCMKK-DHVFOXMCSA-N,1
Chemical Name,InChIKey,"Dihydroneopterin",YQIFAMYNGGOTFB-XINAWCOVSA-N,1
Chemical Name,InChIKey,"D-Mannonate",RGHNJXZEOKUKBD-MBMOQRBOSA-N,1
Chemical Name,InChIKey,"Silver",BQCADISMDOOEFD-UHFFFAOYSA-N,1
Chemical Name,InChIKey,"Acyl phosphatidylglycerol (n-C14:1)",FVJZSBGHRPJMMA-DHPKCYQYSA-N,0
Chemical Name,InChIKey,"2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:1)",YBBLVLTVTVSKRW-UHFFFAOYSA-N,1
Chemical Name,InChIKey,"3  CMP C9H12N3O8P",IERHLVCPSMICTF-XVFCMESISA-N,1
Chemical Name,InChIKey,"(R)-3-hydroxy-cis-dodec-5-enoyl-[acyl-carrier protein]",XLYOFNOQVPJJNP-UHFFFAOYSA-M,1
Chemical Name,InChIKey,"Nitric oxide",MWUXSHHQAYIFBG-UHFFFAOYSA-N,1
Chemical Name,InChIKey,"Pyruvate",LCTONWCANYUPML-UHFFFAOYSA-M,1
Chemical Name,InChIKey,"D-Xylulose 5-phosphate",FNZLKVNUWIIPSJ-RFZPGFLSSA-N,1
Chemical Name,InChIKey,"Cis-tetradec-7-enoyl-[acyl-carrier protein] (n-C14:1)",MEAZTWJVOWHKJM-CIAPRIGGSA-N,1
Chemical Name,InChIKey,"4-Phospho-D-erythronate",ZCZXOHUILRHRQJ-PWNYCUMCSA-N,1
Chemical Name,InChIKey,"Hydrogen peroxide",MHAJPDPJQMAIIY-UHFFFAOYSA-N,1
Chemical Name,InChIKey,"5-Methyltetrahydrofolate",ZNOVTXRBGFNYRX-STQMWFEESA-N,1
Chemical Name,InChIKey,"Sulfur",NINIDFKCEFEMDL-UHFFFAOYSA-N,0
Chemical Name,InChIKey,"TRNA Asn  C10H17O10PR2",CKLJMWTZIZZHCS-REOHCLBHSA-N,1
