id	name	formula	charge	inchikey	smiles	deltag	kegg id	ms id
cpd00443_c0	ABEE_c0	C7H6NO2	-1	ALYNCZNDIQEVRV-UHFFFAOYSA-M	Nc1ccc(C(=O)[O-])cc1	-48.99	C00568	cpd00443
cpd02920_c0	2-Amino-4-hydroxy-6-hydroxymethyl-7-8-dihydropteridinediphosphate_c0	C7H9N5O8P2	-2	FCQGJGLSOWZZON-UHFFFAOYSA-L	N=c1nc([O-])c2c([nH]1)NCC(COP(=O)(O)OP(=O)([O-])O)=N2	-423.61	C04807	cpd02920
cpd00012_c0	PPi_c0	HO7P2	-3	XPPKVPWEQAFLFU-UHFFFAOYSA-L	O=P([O-])([O-])OP(=O)(O)O	-480.93	C00013	cpd00012
cpd00067_c0	H+_c0	H	1	GPRLSGONYQIRFK-UHFFFAOYSA-N	[H+]	-9.53	C00080	cpd00067
cpd00683_c0	Dihydropteroate_c0	C14H13N6O3	-1	WBFYVDCHGVNRBH-UHFFFAOYSA-M	N=c1nc([O-])c2c([nH]1)NCC(CNc1ccc(C(=O)O)cc1)=N2	12.16	C00921	cpd00683
cpd00002_c0	ATP_c0	C10H13N5O13P3	-3	ZKHQWZAMYRWXGA-KQYNXXCUSA-K	Nc1ncnc2c1ncn2C1OC(COP(=O)([O-])OP(=O)(O)OP(=O)([O-])[O-])C(O)C1O	-673.85	C00002	cpd00002
cpd00033_c0	Glycine_c0	C2H5NO2	0	DHMQDGOQFOQNFH-UHFFFAOYSA-N	NCC(=O)O	-87.73	C00037	cpd00033
cpd00506_c0	gamma-Glutamylcysteine_c0	C8H13N2O5S	-1	RITKHVBHSGLULN-WHFBIAKZSA-M	NC(CCC([O-])=NC(CS)C(=O)O)C(=O)O	-190.374	C00669	cpd00506
cpd00008_c0	ADP_c0	C10H13N5O10P2	-2	XTWYTFMLZFPYCI-KQYNXXCUSA-L	Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)([O-])[O-])C(O)C1O	-465.85	C00008	cpd00008
cpd00009_c0	Phosphate_c0	HO4P	-2	NBIIXXVUZAFLBC-UHFFFAOYSA-L	O=P([O-])([O-])O	-261.974	C00009	cpd00009
cpd00042_c0	GSH_c0	C10H16N3O6S	-1	RWSXRVCMGQZWBV-WDSKDSINSA-M	NC(CCC([O-])=NC(CS)C(O)=NCC(=O)O)C(=O)O	-220.954	C00051	cpd00042
cpd00003_c0	NAD_c0	C21H26N7O14P2	-1	BAWFJGJZGIEFAR-NNYOXOHSSA-M	N=C([O-])c1ccc[n+](C2OC(COP(=O)(O)OP(=O)([O-])OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)c1	-529.59	C00003	cpd00003
cpd01861_c0	(R)-1,2-Propanediol_c0	C3H8O2	0	DNIAPMSPPWPWGF-GSVOUGTGSA-N	CC(O)CO	-79.95	C02912	cpd01861
cpd00004_c0	NADH_c0	C21H27N7O14P2	-2	BOPGDPNILDQYTO-NNYOXOHSSA-L	N=C([O-])C1=CN(C2OC(COP(=O)([O-])OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)C=CC1	-524.32	C00004	cpd00004
cpd00693_c0	D-Lactaldehyde_c0	C3H6O2	0	BSABBBMNWQWLLU-GSVOUGTGSA-N	CC(O)C=O	-70.47	C00937	cpd00693
cpd00017_c0	S-Adenosyl-L-methionine_c0	C15H23N6O5S	1	MEFKEPWMEQBLKI-AIRLBKTGSA-O	C[S+](CCC(N)C(=O)O)CC1OC(n2cnc3c(N)ncnc32)C(O)C1O	-66.63	C00019	cpd00017
cpd00074_c0	S_c0	S	0	NINIDFKCEFEMDL-UHFFFAOYSA-N	[S]	-6.66	C00087	cpd00074
cpd01311_c0	Dethiobiotin_c0	C10H17N2O3	-1	AUTOLBMXDDTRRT-UHFFFAOYSA-M	CC1N=C(O)NC1CCCCCC(=O)[O-]	-115.31	C01909	cpd01311
cpd00060_c0	L-Methionine_c0	C5H11NO2S	0	FFEARJCKVFRZRR-BYPYZUCNSA-N	CSCCC(N)C(=O)O	-75.91	C00073	cpd00060
cpd00104_c0	BIOT_c0	C10H15N2O3S	-1	YBJHBAHKTGYVGT-ZKWXMUAHSA-M	O=C([O-])CCCCC1SCC2N=C(O)NC21	-109.02	C00120	cpd00104
cpd03091_c0	5'-Deoxyadenosine_c0	C10H13N5O3	0	XGYIMTFOTBMPFP-KQYNXXCUSA-N	CC1OC(n2cnc3c(N)ncnc32)C(O)C1O	-9.12	C05198	cpd03091
cpd00067_e0	H+_e0	H	1	GPRLSGONYQIRFK-UHFFFAOYSA-N	[H+]	-9.53	C00080	cpd00067
cpd00182_e0	Adenosine_e0	C10H13N5O4	0	OIRDTQYFTABQOQ-KQYNXXCUSA-N	Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O	-45.35	C00212	cpd00182
cpd00182_c0	Adenosine_c0	C10H13N5O4	0	OIRDTQYFTABQOQ-KQYNXXCUSA-N	Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O	-45.35	C00212	cpd00182
cpd00001_c0	H2O_c0	H2O	0	XLYOFNOQVPJJNP-UHFFFAOYSA-N	O	-56.687	C00001	cpd00001
cpd00947_c0	LacCer_c0	C31H56NO13R	0				C01290	cpd00947
cpd00108_c0	Galactose_c0	C6H12O6	0	WQZGKKKJIJFFOK-SVZMEOIVSA-N	OCC1OC(O)C(O)C(O)C1O	-218.28	C00124	cpd00108
cpd00878_c0	Glucocerebroside_c0	C25H46NO8R	0				C01190	cpd00878
cpd00022_c0	Acetyl-CoA_c0	C23H34N7O17P3S	-4	ZSLZBFCDCINBPY-ZSJPKINUSA-J	CC(=O)SCCN=C([O-])CCN=C([O-])C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)([O-])[O-]	-785.83	C00024	cpd00022
cpd00054_c0	L-Serine_c0	C3H7NO3	0	MTCFGRXMJLQNBG-REOHCLBHSA-N	NC(CO)C(=O)O	-124.15	C00065	cpd00054
cpd00010_c0	CoA_c0	C21H32N7O16P3S	-4	RGJOEKWQDUBAIZ-IBOSZNHHSA-J	CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)([O-])[O-])C(O)C([O-])=NCCC([O-])=NCCS	-751.994	C00010	cpd00010
cpd00722_c0	O-Acetyl-L-serine_c0	C5H9NO4	0	VZXPDPZARILFQX-BYPYZUCNSA-N	CC(=O)OCC(N)C(=O)O	-161.6	C00979	cpd00722
