id	direction	compartment	gpr	name	enzyme	deltag	reference	equation	definition	ms id	bigg id	kegg id	kegg pathways	metacyc pathways
rxn02201_c0	>	Cytosol_0	((BKU49_RS06375 or WP_003911441.1 or WP_003899596.1 or BKU49_RS18895) or (WP_003416914.1 or BKU49_RS16960))	2-amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine-diphosphate:4-aminobenzoate 2-amino-4-hydroxydihydropteridine-6-methenyltransferase_c0		-32.19		(1)  cpd00443[c0] + (1)  cpd02920[c0] => (1)  cpd00012[c0] + (1)  cpd00067[c0] + (1)  cpd00683[c0]	(1)  ABEE_c0[c0] + (1)  2-Amino-4-hydroxy-6-hydroxymethyl-7-8-dihydropteridinediphosphate_c0[c0] => (1)  PPi_c0[c0] + (1)  H+_c0[c0] + (1)  Dihydropteroate_c0[c0]	rxn02201	DHPS2	R03067	Folate biosynthesis	ALL-CHORISMATE-PWY|Biosynthesis|Cofactor-Biosynthesis|FOLSYN-PWY|Folate-Biosynthesis|Vitamin-Biosynthesis
rxn00836_c0	<	Cytosol_0	(WP_003912454.1 or BKU49_RS18975)	IMP:diphosphate phospho-D-ribosyltransferase_c0		12.54		(1)  cpd00012[c0] + (1)  cpd00067[c0] + (1)  cpd00114[c0] <= (1)  cpd00103[c0] + (1)  cpd00226[c0]	(1)  PPi_c0[c0] + (1)  H+_c0[c0] + (1)  IMP_c0[c0] <= (1)  PRPP_c0[c0] + (1)  HYXN_c0[c0]	rxn00836	HPT1_1	R01132	Purine metabolism	Adenine-Adenosine-Salvage|Biosynthesis|Nucleotide-Biosynthesis|PUR-NUC-SYN|Purine-Nucleotides-Salvage
rxn08180_c0	>	Cytosol_0	(WP_003898934.1 or BKU49_RS08295)	Biotin synthase_c0		-14.98		(1)  cpd00017[c0] + (1)  cpd00074[c0] + (1)  cpd01311[c0] => (1)  cpd00060[c0] + (1)  cpd00067[c0] + (1)  cpd00104[c0] + (1)  cpd03091[c0]	(1)  S-Adenosyl-L-methionine_c0[c0] + (1)  S_c0[c0] + (1)  Dethiobiotin_c0[c0] => (1)  L-Methionine_c0[c0] + (1)  H+_c0[c0] + (1)  BIOT_c0[c0] + (1)  5'-Deoxyadenosine_c0[c0]	rxn08180	BTS4			
rxn00062_c0	>	Cytosol_0	(BKU49_RS10370 or WP_003899120.1)	ATP phosphohydrolase_c0	3.6.1.3|3.6.3.15|3.6.3.50|3.6.3.51|3.6.3.52|3.6.4.1|3.6.4.10|3.6.4.11|3.6.4.12|3.6.4.13|3.6.4.2|3.6.4.4|3.6.4.5|3.6.4.6|3.6.4.7|3.6.4.8|3.6.4.9	-6.82		(1)  cpd00001[c0] + (1)  cpd00002[c0] => (1)  cpd00008[c0] + (1)  cpd00009[c0] + (1)  cpd00067[c0]	(1)  H2O_c0[c0] + (1)  ATP_c0[c0] => (1)  ADP_c0[c0] + (1)  Phosphate_c0[c0] + (1)  H+_c0[c0]	rxn00062	ATPM	R00086	Purine metabolism|Methane metabolism	
rxn00423_c0	>	Cytosol_0	(BKU49_RS12225 or WP_003411985.1)	acetyl-CoA:L-serine O-acetyltransferase_c0		-3.61		(1)  cpd00022[c0] + (1)  cpd00054[c0] => (1)  cpd00010[c0] + (1)  cpd00722[c0]	(1)  Acetyl-CoA_c0[c0] + (1)  L-Serine_c0[c0] => (1)  CoA_c0[c0] + (1)  O-Acetyl-L-serine_c0[c0]	rxn00423	SERAT	R00586	Cysteine and methionine metabolism|Sulfur metabolism	Amino-Acid-Biosynthesis|Biosynthesis|CYSTEINE-SYN|CYSTSYN-PWY|Detoxification|IND-AMINO-ACID-SYN|Other-Amino-Acid-Biosynthesis|Other-biosynthesis|SULFATE-CYS-PWY
rxn00364_c0	=	Cytosol_0	(WP_003408441.1 or BKU49_RS08920)	ATP:CMP phosphotransferase_c0		9.53		(1)  cpd00002[c0] + (1)  cpd00046[c0] + (1)  cpd00067[c0] <=> (1)  cpd00008[c0] + (1)  cpd00096[c0]	(1)  ATP_c0[c0] + (1)  CMP_c0[c0] + (1)  H+_c0[c0] <=> (1)  ADP_c0[c0] + (1)  CDP_c0[c0]	rxn00364	CYTK1	R00512	Pyrimidine metabolism	Biosynthesis|Metabolic-Clusters|Nucleotide-Biosynthesis|P1-PWY|PRPP-PWY|PUR-NUC-SYN|PWY0-162|PWY0-163|PYR-NUC-SYN|Purine-Nucleotides-Salvage|Pyrimidine-De-Novo-Biosyn|Pyrimidine-Nucleotide-Salvage
rxn03408_c0	=	Cytosol_0	(BKU49_RS11225 or WP_003911806.1)	UDP-N-acetyl-D-glucosamine:undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine 4-beta-N-acetylglucosaminlytransferase_c0		-1.7		(1)  cpd00037[c0] + (1)  cpd03494[c0] <=> (1)  cpd00014[c0] + (1)  cpd03495[c0]	(1)  UDP-N-acetylglucosamine_c0[c0] + (1)  Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine_c0[c0] <=> (1)  UDP_c0[c0] + (1)  Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala_c0[c0]	rxn03408		R05032	Peptidoglycan biosynthesis	
rxn05250_c0	>	Cytosol_0	(WP_003405625.1 or BKU49_RS05585)	FACOAL160(ISO)_c0		-4.296		(1)  cpd00002[c0] + (1)  cpd00010[c0] + (1)  cpd11440[c0] => (1)  cpd00012[c0] + (1)  cpd00018[c0] + (1)  cpd11441[c0]	(1)  ATP_c0[c0] + (1)  CoA_c0[c0] + (1)  fa6_c0[c0] => (1)  PPi_c0[c0] + (1)  AMP_c0[c0] + (1)  fa6coa_c0[c0]	rxn05250				
rxn00646_c0	>	Cytosol_0	(WP_003900145.1 or WP_003419790.1 or BKU49_RS19375 or BKU49_RS02220)	L-glutamate:L-cysteine gamma-ligase (ADP-forming)_c0		-6.35		(1)  cpd00002[c0] + (1)  cpd00023[c0] + (1)  cpd00084[c0] => (1)  cpd00008[c0] + (1)  cpd00009[c0] + (1)  cpd00067[c0] + (1)  cpd00506[c0]	(1)  ATP_c0[c0] + (1)  L-Glutamate_c0[c0] + (1)  L-Cysteine_c0[c0] => (1)  ADP_c0[c0] + (1)  Phosphate_c0[c0] + (1)  H+_c0[c0] + (1)  gamma-Glutamylcysteine_c0[c0]	rxn00646	GLUCYS	R00894	Glutathione metabolism	Biosynthesis|Cofactor-Biosynthesis|GLUTATHIONESYN-PWY|Other-biosynthesis|Reductants
rxn14087_c0	=	Cytosol_0	(BKU49_RS16165 or WP_003416074.1)	acetyl-[acyl-carrier-protein]: malonate S-[acyl-carrier-protein]transferase_c0	 2.3.1.187	7.99		(1)  cpd00067[c0] + (1)  cpd00308[c0] + (1)  cpd11494[c0] <=> (1)  cpd00029[c0] + (1)  cpd11492[c0]	(1)  H+_c0[c0] + (1)  Malonate_c0[c0] + (1)  Acetyl-ACP_c0[c0] <=> (1)  Acetate_c0[c0] + (1)  Malonyl-acyl-carrierprotein-_c0[c0]	rxn14087		R08944		
